Product_Name,Brand,Category,Usage_Frequency,Price,Rating,Number_of_Reviews,Product_Size,Skin_Type,Gender,Packaging_Type,Ingredients,Cruelty_Free,Country_of_Origin,Price_IDR,combined_features,Image_URL
ultra face mask,drunk elephant,blush,weekly,67.85,1.4,686,30ml,sensitive,female,Tube,retinol,False,Australia,1017749.9999999999,blush sensitive weekly retinol,
ultra lipstick,laura mercier,makeup remover,occasional,116.43,4.2,5483,250ml,dry,unisex,Bottle,shea butter,False,UK,1746450.0,makeup remover dry occasional shea butter,
ultra serum,natasha denona,highlighter,daily,90.84,1.6,5039,100ml,sensitive,male,Compact,aloe vera,True,Italy,1362600.0,highlighter sensitive daily aloe vera,
divine serum,ilia beauty,face mask,occasional,55.17,3.2,6202,250ml,normal,male,Tube,glycerin,True,South Korea,827550.0,face mask normal occasional glycerin,
super foundation,charlotte tilbury,highlighter,occasional,140.56,1.7,297,100ml,oily,female,Compact,glycerin,False,Germany,2108400.0,highlighter oily occasional glycerin,
super eye shadow,danessa myricks,foundation,weekly,135.82,3.2,9405,150ml,sensitive,female,Compact,glycerin,True,UK,2037300.0,foundation sensitive weekly glycerin,
super lip gloss,bourjois,powder,monthly,148.99,2.5,2423,250ml,normal,female,Jar,hyaluronic acid,True,Germany,2234850.0,powder normal monthly hyaluronic acid,
ultra cleanser,bourjois,lip gloss,daily,21.43,4.3,8032,200ml,sensitive,male,Bottle,vitamin c,True,Italy,321450.0,lip gloss sensitive daily vitamin c,
magic highlighter,it cosmetics,cc cream,occasional,113.09,3.3,2468,200ml,combination,unisex,Compact,vitamin c,True,Germany,1696350.0,cc cream combination occasional vitamin c,
perfect bronzer,fenty beauty,face mask,weekly,133.57,4.4,4127,150ml,dry,female,Compact,hyaluronic acid,False,Japan,2003550.0,face mask dry weekly hyaluronic acid,
ultra moisturizer,sisley,powder,weekly,104.91,4.0,8876,100ml,combination,female,Bottle,retinol,True,UK,1573650.0,powder combination weekly retinol,
divine cc cream,juvia’s place,eye shadow,daily,101.88,4.7,7196,50ml,oily,male,Bottle,retinol,False,Italy,1528200.0,eye shadow oily daily retinol,
ultra setting spray,nars,concealer,occasional,34.2,1.9,4799,150ml,oily,unisex,Bottle,vitamin c,False,Australia,513000.00000000006,concealer oily occasional vitamin c,
