alpha,beta,gamma,precision,recall,ndcg
0.1,0.1,0.4,0.4,0.4,0.5801476231864474
0.1,0.1,0.5,0.4,0.4,0.501749354207772
0.1,0.1,0.6,0.4,0.4,0.4959389204699464
0.1,0.1,0.7,0.3,0.3,0.43231813227099475
0.1,0.2,0.4,0.5,0.5,0.6437684113853992
0.1,0.2,0.5,0.5,0.5,0.5829393865084944
0.1,0.2,0.6,0.4,0.4,0.5193185983095427
0.1,0.2,0.7,0.3,0.3,0.3785988060390612
0.1,0.3,0.4,0.5,0.5,0.6473362615659566
0.1,0.3,0.5,0.5,0.5,0.6149518506608846
0.1,0.3,0.6,0.4,0.4,0.5360735436824436
0.1,0.3,0.7,0.4,0.4,0.5264282969545138
0.1,0.4,0.4,0.5,0.5,0.6594803070902429
0.1,0.4,0.5,0.5,0.5,0.6216966993238303
0.1,0.4,0.6,0.5,0.5,0.606439180544341
0.1,0.4,0.7,0.5,0.5,0.5996943318813953
0.2,0.1,0.4,0.5,0.5,0.6489315753318465
0.2,0.1,0.5,0.5,0.5,0.6489315753318465
0.2,0.1,0.6,0.5,0.5,0.642186726668901
0.2,0.1,0.7,0.5,0.5,0.6177639991612475
0.2,0.2,0.4,0.7,0.7,0.7670273914429264
0.2,0.2,0.5,0.6,0.6,0.6898286563534621
0.2,0.2,0.6,0.5,0.5,0.675416025555764
0.2,0.2,0.7,0.4,0.4,0.5965377185773229
0.2,0.3,0.4,0.6,0.6,0.6651928536555899
0.2,0.3,0.5,0.5,0.5,0.6473362615659566
0.2,0.3,0.6,0.5,0.5,0.6405914129030109
0.2,0.3,0.7,0.5,0.5,0.6078421520159135
0.2,0.4,0.4,0.7,0.7,0.7534494445524138
0.2,0.4,0.5,0.6,0.6,0.6601585067762746
0.2,0.4,0.6,0.5,0.5,0.6464018466408364
0.2,0.4,0.7,0.5,0.5,0.6464018466408364
0.3,0.1,0.4,0.6,0.6,0.800693766409882
0.3,0.1,0.5,0.6,0.6,0.7125523635307982
0.3,0.1,0.6,0.5,0.5,0.6489315753318465
0.3,0.1,0.7,0.5,0.5,0.6489315753318465
0.3,0.2,0.4,0.7,0.7,0.800693766409882
0.3,0.2,0.5,0.6,0.6,0.727329844310522
0.3,0.2,0.6,0.6,0.6,0.7183627972686238
0.3,0.2,0.7,0.5,0.5,0.6489315753318465
0.3,0.3,0.4,0.7,0.7,0.7917267193679839
0.3,0.3,0.5,0.7,0.7,0.7720617383222417
0.3,0.3,0.6,0.7,0.7,0.7670273914429264
0.3,0.3,0.7,0.6,0.6,0.6994739030813919
0.3,0.4,0.4,0.6,0.6,0.7019727018777485
0.3,0.4,0.5,0.6,0.6,0.6745711375739728
0.3,0.4,0.6,0.6,0.6,0.6620158551732016
0.3,0.4,0.7,0.5,0.5,0.6569815082938864
0.4,0.1,0.4,0.8,0.8,0.8305687780632227
0.4,0.1,0.5,0.6,0.6,0.7885497208855957
0.4,0.1,0.6,0.6,0.6,0.7125523635307982
0.4,0.1,0.7,0.5,0.5,0.6489315753318465
0.4,0.2,0.4,0.8,0.8,0.866947989864271
0.4,0.2,0.5,0.7,0.7,0.800693766409882
0.4,0.2,0.6,0.7,0.7,0.7967610662472993
0.4,0.2,0.7,0.6,0.6,0.7151857987862356
0.4,0.3,0.4,0.8,0.8,0.84860265890399
0.4,0.3,0.5,0.7,0.7,0.7849818707050383
0.4,0.3,0.6,0.7,0.7,0.78180487222265
0.4,0.3,0.7,0.6,0.6,0.70844095012329
0.4,0.4,0.4,0.7,0.7,0.7967610662472993
0.4,0.4,0.5,0.7,0.7,0.7967610662472993
0.4,0.4,0.6,0.7,0.7,0.7885497208855957
0.4,0.4,0.7,0.7,0.7,0.7720617383222417
